systolic	diastolic	coffee	pill	position	squats	time	water-intake
101	59	0	0	0	0	0	0
93	63	0	0	1	0	0	0
97	54	0	25	0	0	0	0
104	67	0	25	1	0	0	0
119	67	0	25	1	30	0	0
99	58	1	0	0	0	1	0
100	66	1	0	1	0	1	0
124	71	1	0	1	30	1	0
97	62	1	0	0	0	0	0
100	74	1	0	1	0	0	0
97	66	1	25	0	0	0	0
95	62	1	25	1	0	0	0
126	70	1	25	1	30	0	0
96	58	0	0	0	0	1	0
92	54	0	0	1	0	1	0
115	63	0	0	1	30	1	0
120	59	0	0	0	30	1	0
95	55	0	25	0	0	0	400
102	63	0	25	1	0	0	400
119	62	0	25	0	30	0	400
103	61	0	25	1	30	0	400
125	62	1	0	1	30	1	400
118	61	1	0	0	30	1	400
113	58	1	0	0	0	1	400
101	68	1	0	1	0	1	400
97	59	1	0	0	0	0	400
101	64	1	0	1	0	0	400
116	57	1	0	0	30	0	400
123	64	1	0	1	30	0	400
106	66	0	0	0	0	1	400
108	74	0	0	1	0	1	400
121	63	0	0	0	30	1	400
115	57	0.5	12.5	0	15	0	200
114	66	0.5	12.5	1	15	0	200
110	60	0.5	12.5	0	15	1	200
110	60	0.5	12.5	1	15	1	200
