systolic	diastolic	coffee	pill	position	squats	time	water.intake
101	59	0	0	0	0	0	0
124	58	50	0	0	0	1	400
102	54	0	25	0	0	1	400
97	66	50	25	0	0	0	0
92	60	0	0	1	0	1	0
113	70	50	0	1	0	0	400
114	70	0	25	1	0	0	400
113	77	50	25	1	0	1	0
130	66	0	0	0	30	0	400
114	57	50	0	0	30	1	0
125	59	0	25	0	30	1	0
128	65	50	25	0	30	0	400
133	63	0	0	1	30	1	400
130	67	50	0	1	30	0	0
119	74	0	25	1	30	0	0
131	68	50	25	1	30	1	400
126	57	25	12.5	0	15	0	200
125	66	25	12.5	1	15	0	200
120	52	25	12.5	0	15	1	200
128	71	25	12.5	1	15	1	200
